Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.95      0.14     0.14  2879997     0.00     0.00  cimg_library::CImg<unsigned char>::kth_smallest(unsigned int) const
 14.74      0.26     0.12 54585501     0.00     0.00  cimg_library::CImg<unsigned char>::operator unsigned char*()
 10.26      0.34     0.08  1440000     0.00     0.00  cimg_library::CImg<unsigned char>::draw_image(int, int, int, int, cimg_library::CImg<unsigned char> const&, float)
  8.33      0.40     0.07 10080005     0.00     0.00  cimg_library::CImg<unsigned char>::size() const
  8.33      0.47     0.07  5743122     0.00     0.00  void cimg_library::cimg::swap<unsigned char>(unsigned char&, unsigned char&)
  6.41      0.52     0.05  7680000     0.00     0.00  cimg_library::CImg<unsigned char>::spectrum() const
  6.41      0.57     0.05  1440000     0.00     0.00  cimg_library::CImg<unsigned char>::get_crop(int, int, int, int, int, int, int, int, bool) const
  5.13      0.61     0.04 12477390     0.00     0.00  cimg_library::CImg<unsigned char>::height() const
  2.56      0.63     0.02 12474777     0.00     0.00  cimg_library::CImg<unsigned char>::width() const
  2.56      0.65     0.02  4320004     0.00     0.00  cimg_library::CImg<unsigned char>::~CImg()
  2.56      0.67     0.02  2879999     0.00     0.00  cimg_library::CImg<unsigned char>::CImg(cimg_library::CImg<unsigned char> const&)
  2.56      0.69     0.02   480000     0.00     0.00  getRgb(cimg_library::CImg<unsigned char>&, int, int)
  1.28      0.70     0.01  7200000     0.00     0.00  cimg_library::CImg<unsigned char>::is_empty() const
  1.28      0.71     0.01  6720000     0.00     0.00  cimg_library::CImg<unsigned char>::depth() const
  1.28      0.72     0.01  2409118     0.00     0.00  cimg_library::CImg<unsigned char>::operator()(unsigned int, unsigned int, unsigned int)
  1.28      0.73     0.01  1440003     0.00     0.00  cimg_library::CImg<unsigned char>::data(unsigned int, unsigned int, unsigned int, unsigned int)
  1.28      0.74     0.01   480000     0.00     0.00  rgb::getHsv()
  1.28      0.75     0.01        1    10.00    13.56  findOutlines(cimg_library::CImg<unsigned char>)
  1.28      0.76     0.01        1    10.00   700.39  cimg_library::CImg<unsigned char>::get_blur_median(unsigned int) const
  1.28      0.77     0.01                             cimg_library::CImg<unsigned long>::pixel_type()
  0.64      0.77     0.01        1     5.00     5.00  cimg_library::CImg<unsigned char>::pixel_type()
  0.64      0.78     0.01        1     5.00     5.00  cimg_library::CImg<unsigned char>::CImg()
  0.64      0.78     0.01                             cimg_library::CImg<unsigned short>::pixel_type()
  0.00      0.78     0.00  1440001     0.00     0.00  cimg_library::CImg<unsigned char>::CImg(unsigned int, unsigned int, unsigned int, unsigned int)
  0.00      0.78     0.00  1440000     0.00     0.00  cimg_library::cimg::abs(float)
  0.00      0.78     0.00  1440000     0.00     0.00  cimg_library::cimg::superset<float, int>::type cimg_library::cimg::max<float, int>(float const&, int const&)
  0.00      0.78     0.00  1440000     0.00     0.00  bool cimg_library::CImg<unsigned char>::is_overlapped<unsigned char>(cimg_library::CImg<unsigned char> const&) const
  0.00      0.78     0.00  1440000     0.00     0.00  cimg_library::CImg<unsigned char>::median() const
  0.00      0.78     0.00  1440000     0.00     0.00  cimg_library::CImg<unsigned char>::operator unsigned char const*() const
  0.00      0.78     0.00   522250     0.00     0.00  std::abs(float)
  0.00      0.78     0.00   480000     0.00     0.00  MAX3(int, int, int)
  0.00      0.78     0.00   480000     0.00     0.00  MIN3(int, int, int)
  0.00      0.78     0.00   480000     0.00     0.00  hsv::compare(hsv, float, float)
  0.00      0.78     0.00     4812     0.00     0.00  point&& std::forward<point>(std::remove_reference<point>::type&)
  0.00      0.78     0.00     3514     0.00     0.00  std::move_iterator<point*>::base() const
  0.00      0.78     0.00     3428     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::__normal_iterator(point const* const&)
  0.00      0.78     0.00     3428     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::base() const
  0.00      0.78     0.00     3297     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.78     0.00     3115     0.00     0.00  std::vector<point, std::allocator<point> >::size() const
