Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.00      0.03     0.03        4     7.50     7.50  unsigned char const& cimg_library::CImg<unsigned char>::max_min<double>(double&) const
 20.00      0.05     0.02        2    10.00    10.00  cimg_library::CImg<unsigned char>::deriche(float, int, char, bool)
 10.00      0.06     0.01  1550981     0.00     0.00  cimg_library::CImg<unsigned char>::height() const
 10.00      0.07     0.01   480000     0.00     0.00  MIN3(float, float, float)
 10.00      0.08     0.01    32556     0.00     0.00  std::move_iterator<point*>::base() const
 10.00      0.09     0.01        1    10.00    23.10  threshhold(cimg_library::CImg<unsigned char>&)
 10.00      0.10     0.01        1    10.00    13.74  booleanEdgeDetect(cimg_library::CImg<unsigned char>&)
  0.00      0.10     0.00  2989480     0.00     0.00  cimg_library::CImg<unsigned char>::operator()(unsigned int, unsigned int, unsigned int)
  0.00      0.10     0.00   548536     0.00     0.00  std::abs(float)
  0.00      0.10     0.00   480000     0.00     0.00  MAX3(float, float, float)
  0.00      0.10     0.00   480000     0.00     0.00  getRgb(cimg_library::CImg<unsigned char>&, int, int)
  0.00      0.10     0.00   480000     0.00     0.00  hsv::compareToColor(float, float, float, float, float)
  0.00      0.10     0.00   480000     0.00     0.00  rgb::getHsv()
  0.00      0.10     0.00   107036     0.00     0.00  cimg_library::CImg<unsigned char>::width() const
  0.00      0.10     0.00    58675     0.00     0.00  point&& std::forward<point>(std::remove_reference<point>::type&)
  0.00      0.10     0.00    58304     0.00     0.00  std::vector<possibleCenter, std::allocator<possibleCenter> >::size() const
  0.00      0.10     0.00    57238     0.00     0.00  std::vector<possibleCenter, std::allocator<possibleCenter> >::operator[](unsigned long)
  0.00      0.10     0.00    56572     0.00     0.00  possibleCenter::compare(precisePoint, float)
  0.00      0.10     0.00    42802     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::__normal_iterator(point const* const&)
  0.00      0.10     0.00    42802     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::base() const
  0.00      0.10     0.00    40595     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.10     0.00    37148     0.00     0.00  std::remove_reference<point&>::type&& std::move<point&>(point&)
  0.00      0.10     0.00    33584     0.00     0.00  std::vector<point, std::allocator<point> >::size() const
  0.00      0.10     0.00    29252     0.00     0.00  std::vector<point, std::allocator<point> >::operator[](unsigned long)
  0.00      0.10     0.00    24060     0.00     0.00  setRgb(cimg_library::CImg<unsigned char>&, int, int, rgb)
  0.00      0.10     0.00    21401     0.00     0.00  bool __gnu_cxx::operator==<point const*, std::vector<point, std::allocator<point> > >(__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&, __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&)
  0.00      0.10     0.00    21401     0.00     0.00  std::vector<point, std::allocator<point> >::end() const
  0.00      0.10     0.00    21401     0.00     0.00  std::vector<point, std::allocator<point> >::begin() const
  0.00      0.10     0.00    21401     0.00     0.00  std::vector<point, std::allocator<point> >::empty() const
  0.00      0.10     0.00    21386     0.00     0.00  point::point(int, int)
  0.00      0.10     0.00    21386     0.00     0.00  point::~point()
  0.00      0.10     0.00    21386     0.00     0.00  __gnu_cxx::new_allocator<point>::destroy(point*)
  0.00      0.10     0.00    21386     0.00     0.00  void __gnu_cxx::new_allocator<point>::construct<point>(point*, point&&)
  0.00      0.10     0.00    21386     0.00     0.00  void std::vector<point, std::allocator<point> >::emplace_back<point>(point&&)
  0.00      0.10     0.00    21386     0.00     0.00  std::vector<point, std::allocator<point> >::pop_back()
  0.00      0.10     0.00    21386     0.00     0.00  std::vector<point, std::allocator<point> >::push_back(point&&)
  0.00      0.10     0.00    16278     0.00     0.00  bool std::operator==<point*>(std::move_iterator<point*> const&, std::move_iterator<point*> const&)
  0.00      0.10     0.00    16278     0.00     0.00  bool std::operator!=<point*>(std::move_iterator<point*> const&, std::move_iterator<point*> const&)
  0.00      0.10     0.00    15762     0.00     0.00  std::move_iterator<point*>::operator*() const
  0.00      0.10     0.00    15762     0.00     0.00  std::move_iterator<point*>::operator++()
  0.00      0.10     0.00    15762     0.00     0.00  _ZSt10_ConstructI5pointIS0_EEvPT_DpOT0_
  0.00      0.10     0.00    15762     0.00     0.00  point* std::__addressof<point>(point&)
  0.00      0.10     0.00    15450     0.00     0.00  square(float)
  0.00      0.10     0.00     7725     0.00     0.00  precisePoint::distanceTo(point)
  0.00      0.10     0.00     7725     0.00     0.00  std::sqrt(float)
  0.00      0.10     0.00     5244     0.00     0.00  findPerpendicularLine(point, point)
  0.00      0.10     0.00     5184     0.00     0.00  std::isnan(float)
  0.00      0.10     0.00     5133     0.00     0.00  std::isfinite(float)
  0.00      0.10     0.00     2674     0.00     0.00  outline::addPoint(point)
  0.00      0.10     0.00     2674     0.00     0.00  __gnu_cxx::new_allocator<point>::construct(point*, point const&)
  0.00      0.10     0.00     2674     0.00     0.00  std::vector<point, std::allocator<point> >::push_back(point const&)
  0.00      0.10     0.00     2622     0.00     0.00  findEquidistant(point, point, point)
  0.00      0.10     0.00     2622     0.00     0.00  findIntersection(line, line)
  0.00      0.10     0.00     1726     0.00     0.00  cimg_library::CImg<unsigned char>::data(unsigned int, unsigned int, unsigned int, unsigned int)
  0.00      0.10     0.00     1032     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::base() const
  0.00      0.10     0.00     1032     0.00     0.00  std::move_iterator<point*>::move_iterator(point*)
  0.00      0.10     0.00     1032     0.00     0.00  std::move_iterator<point*> std::make_move_iterator<point*>(point* const&)
  0.00      0.10     0.00      864     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_get_Tp_allocator()
  0.00      0.10     0.00      774     0.00     0.00  __gnu_cxx::new_allocator<point>::max_size() const
  0.00      0.10     0.00      742     0.00     0.00  __gnu_cxx::new_allocator<possibleCenter>::construct(possibleCenter*, possibleCenter const&)
